agency_cd	site_no	datetime	Discharge_cfs	136450_00060_00003_cd
USGS	08168710	1932-11-12	318	A
USGS	08168710	1932-11-13	315	A
USGS	08168710	1932-11-14	318	A
USGS	08168710	1932-11-15	315	A
USGS	08168710	1932-11-16	315	A
USGS	08168710	1932-11-17	311	A
USGS	08168710	1932-11-18	315	A
USGS	08168710	1932-11-19	311	A
USGS	08168710	1932-11-20	315	A
USGS	08168710	1932-11-21	315	A
USGS	08168710	1932-11-22	315	A
USGS	08168710	1932-11-23	315	A
USGS	08168710	1932-11-24	315	A
USGS	08168710	1932-11-25	315	A
USGS	08168710	1932-11-26	315	A
USGS	08168710	1932-11-27	315	A
USGS	08168710	1932-11-28	315	A
USGS	08168710	1932-11-29	315	A
USGS	08168710	1932-11-30	315	A
USGS	08168710	1932-12-01	315	A
USGS	08168710	1932-12-02	315	A
USGS	08168710	1932-12-03	315	A
USGS	08168710	1932-12-04	315	A
USGS	08168710	1932-12-05	315	A
USGS	08168710	1932-12-06	315	A
USGS	08168710	1932-12-07	315	A
USGS	08168710	1932-12-08	311	A
USGS	08168710	1932-12-09	315	A
USGS	08168710	1932-12-10	315	A
USGS	08168710	1932-12-11	320	A
USGS	08168710	1932-12-12	326	A
USGS	08168710	1932-12-13	322	A
USGS	08168710	1932-12-14	322	A
USGS	08168710	1932-12-15	326	A
USGS	08168710	1932-12-16	322	A
USGS	08168710	1932-12-17	322	A
USGS	08168710	1932-12-18	326	A
USGS	08168710	1932-12-19	322	A
USGS	08168710	1932-12-20	326	A
USGS	08168710	1932-12-21	326	A
USGS	08168710	1932-12-22	326	A
USGS	08168710	1932-12-23	326	A
USGS	08168710	1932-12-24	326	A
USGS	08168710	1932-12-25	326	A
USGS	08168710	1932-12-26	326	A
USGS	08168710	1932-12-27	320	A
USGS	08168710	1932-12-28	315	A
USGS	08168710	1932-12-29	318	A
USGS	08168710	1932-12-30	318	A
USGS	08168710	1932-12-31	318	A
USGS	08168710	1933-01-01	318	A
USGS	08168710	1933-01-02	318	A
USGS	08168710	1933-01-03	318	A
USGS	08168710	1933-01-04	318	A
USGS	08168710	1933-01-05	315	A
USGS	08168710	1933-01-06	315	A
USGS	08168710	1933-01-07	315	A
USGS	08168710	1933-01-08	315	A
USGS	08168710	1933-01-09	318	A
USGS	08168710	1933-01-10	315	A
USGS	08168710	1933-01-11	315	A
USGS	08168710	1933-01-12	311	A
USGS	08168710	1933-01-13	308	A
USGS	08168710	1933-01-14	308	A
USGS	08168710	1933-01-15	311	A
USGS	08168710	1933-01-16	311	A
USGS	08168710	1933-01-17	311	A
USGS	08168710	1933-01-18	311	A
USGS	08168710	1933-01-19	308	A
USGS	08168710	1933-01-20	308	A
USGS	08168710	1933-01-21	308	A
USGS	08168710	1933-01-22	304	A
USGS	08168710	1933-01-23	304	A
USGS	08168710	1933-01-24	304	A
USGS	08168710	1933-01-25	304	A
USGS	08168710	1933-01-26	308	A
USGS	08168710	1933-01-27	308	A
USGS	08168710	1933-01-28	311	A
USGS	08168710	1933-01-29	308	A
USGS	08168710	1933-01-30	308	A
USGS	08168710	1933-01-31	304	A
USGS	08168710	1933-02-01	304	A
USGS	08168710	1933-02-02	308	A
USGS	08168710	1933-02-03	311	A
USGS	08168710	1933-02-04	308	A
USGS	08168710	1933-02-05	304	A
USGS	08168710	1933-02-06	304	A
USGS	08168710	1933-02-07	304	A
USGS	08168710	1933-02-08	300	A
USGS	08168710	1933-02-09	297	A
USGS	08168710	1933-02-10	300	A
USGS	08168710	1933-02-11	300	A
USGS	08168710	1933-02-12	300	A
USGS	08168710	1933-02-13	297	A
USGS	08168710	1933-02-14	297	A
USGS	08168710	1933-02-15	297	A
USGS	08168710	1933-02-16	294	A
USGS	08168710	1933-02-17	294	A
USGS	08168710	1933-02-18	290	A
USGS	08168710	1933-02-19	290	A
USGS	08168710	1933-02-20	294	A
USGS	08168710	1933-02-21	294	A
USGS	08168710	1933-02-22	294	A
USGS	08168710	1933-02-23	297	A
USGS	08168710	1933-02-24	300	A
USGS	08168710	1933-02-25	297	A
USGS	08168710	1933-02-26	297	A
USGS	08168710	1933-02-27	297	A
USGS	08168710	1933-02-28	300	A
USGS	08168710	1933-03-01	304	A
USGS	08168710	1933-03-02	300	A
USGS	08168710	1933-03-03	304	A
USGS	08168710	1933-03-04	300	A
USGS	08168710	1933-03-05	302	A
USGS	08168710	1933-03-06	304	A
USGS	08168710	1933-03-07	308	A
USGS	08168710	1933-03-08	308	A
USGS	08168710	1933-03-09	308	A
USGS	08168710	1933-03-10	308	A
USGS	08168710	1933-03-11	308	A
USGS	08168710	1933-03-12	308	A
USGS	08168710	1933-03-13	308	A
USGS	08168710	1933-03-14	311	A
USGS	08168710	1933-03-15	315	A
USGS	08168710	1933-03-16	311	A
USGS	08168710	1933-03-17	315	A
USGS	08168710	1933-03-18	311	A
USGS	08168710	1933-03-19	311	A
USGS	08168710	1933-03-20	308	A
USGS	08168710	1933-03-21	308	A
USGS	08168710	1933-03-22	308	A
USGS	08168710	1933-03-23	311	A
USGS	08168710	1933-03-24	315	A
USGS	08168710	1933-03-25	311	A
USGS	08168710	1933-03-26	311	A
USGS	08168710	1933-03-27	315	A
USGS	08168710	1933-03-28	315	A
USGS	08168710	1933-03-29	315	A
USGS	08168710	1933-03-30	315	A
USGS	08168710	1933-03-31	318	A
USGS	08168710	1933-04-01	322	A
USGS	08168710	1933-04-02	322	A
USGS	08168710	1933-04-03	322	A
