agency_cd	site_no	datetime	Discharge_cfs	136526_00060_00003_cd
USGS	08170000	1956-05-26	65.0	A
USGS	08170000	1956-05-27	69.0	A
USGS	08170000	1956-05-28	69.0	A
USGS	08170000	1956-05-29	68.0	A
USGS	08170000	1956-05-30	65.0	A
USGS	08170000	1956-05-31	66.0	A
USGS	08170000	1956-06-01	66.0	A
USGS	08170000	1956-06-02	67.0	A
USGS	08170000	1956-06-03	67.0	A
USGS	08170000	1956-06-04	67.0	A
USGS	08170000	1956-06-05	66.0	A
USGS	08170000	1956-06-06	64.0	A
USGS	08170000	1956-06-07	62.0	A
USGS	08170000	1956-06-08	60.0	A
USGS	08170000	1956-06-09	60.0	A
USGS	08170000	1956-06-10	63.0	A
USGS	08170000	1956-06-11	66.0	A
USGS	08170000	1956-06-12	66.0	A
USGS	08170000	1956-06-13	66.0	A
USGS	08170000	1956-06-14	64.0	A
USGS	08170000	1956-06-15	62.0	A
USGS	08170000	1956-06-16	63.0	A
USGS	08170000	1956-06-17	65.0	A
USGS	08170000	1956-06-18	65.0	A
USGS	08170000	1956-06-19	66.0	A
USGS	08170000	1956-06-20	66.0	A
USGS	08170000	1956-06-21	66.0	A
USGS	08170000	1956-06-22	64.0	A
USGS	08170000	1956-06-23	65.0	A
USGS	08170000	1956-06-24	64.0	A
USGS	08170000	1956-06-25	64.0	A
USGS	08170000	1956-06-26	62.0	A
USGS	08170000	1956-06-27	60.0	A
USGS	08170000	1956-06-28	60.0	A
USGS	08170000	1956-06-29	59.0	A
USGS	08170000	1956-06-30	54.0	A
USGS	08170000	1956-07-01	59.0	A
USGS	08170000	1956-07-02	59.0	A
USGS	08170000	1956-07-03	58.0	A
USGS	08170000	1956-07-04	59.0	A
USGS	08170000	1956-07-05	57.0	A
USGS	08170000	1956-07-06	54.0	A
USGS	08170000	1956-07-07	59.0	A
USGS	08170000	1956-07-08	59.0	A
USGS	08170000	1956-07-09	56.0	A
USGS	08170000	1956-07-10	54.0	A
USGS	08170000	1956-07-11	55.0	A
USGS	08170000	1956-07-12	54.0	A
USGS	08170000	1956-07-13	54.0	A
USGS	08170000	1956-07-14	54.0	A
USGS	08170000	1956-07-15	55.0	A
USGS	08170000	1956-07-16	54.0	A
USGS	08170000	1956-07-17	51.0	A
USGS	08170000	1956-07-18	51.0	A
USGS	08170000	1956-07-19	55.0	A
USGS	08170000	1956-07-20	52.0	A
USGS	08170000	1956-07-21	57.0	A
USGS	08170000	1956-07-22	58.0	A
USGS	08170000	1956-07-23	51.0	A
USGS	08170000	1956-07-24	51.0	A
USGS	08170000	1956-07-25	51.0	A
USGS	08170000	1956-07-26	51.0	A
USGS	08170000	1956-07-27	48.0	A
USGS	08170000	1956-07-28	57.0	A
USGS	08170000	1956-07-29	55.0	A
USGS	08170000	1956-07-30	53.0	A
USGS	08170000	1956-07-31	50.0	A
USGS	08170000	1956-08-01	55.0	A
USGS	08170000	1956-08-02	58.0	A
USGS	08170000	1956-08-03	55.0	A
USGS	08170000	1956-08-04	52.0	A
USGS	08170000	1956-08-05	52.0	A
USGS	08170000	1956-08-06	54.0	A
USGS	08170000	1956-08-07	53.0	A
USGS	08170000	1956-08-08	52.0	A
USGS	08170000	1956-08-09	50.0	A
USGS	08170000	1956-08-10	52.0	A
USGS	08170000	1956-08-11	54.0	A
USGS	08170000	1956-08-12	53.0	A
USGS	08170000	1956-08-13	51.0	A
USGS	08170000	1956-08-14	49.0	A
USGS	08170000	1956-08-15	46.0	A
USGS	08170000	1956-08-16	46.0	A
USGS	08170000	1956-08-17	52.0	A
USGS	08170000	1956-08-18	54.0	A
USGS	08170000	1956-08-19	53.0	A
